UserID,MovieID,Rating
user_9,movie_27,5
user_18,movie_18,5
user_4,movie_5,3
user_13,movie_3,3
user_20,movie_19,3
user_19,movie_21,2
user_15,movie_26,3
user_12,movie_13,4
user_6,movie_12,2
user_15,movie_2,1
user_13,movie_6,2
user_7,movie_27,4
user_13,movie_6,4
user_7,movie_13,4
user_5,movie_15,3
user_18,movie_7,4
user_16,movie_9,1
user_18,movie_13,3
user_16,movie_4,1
user_15,movie_6,1
user_5,movie_3,5
user_14,movie_23,5
user_19,movie_16,3
user_15,movie_29,1
user_7,movie_12,5
user_16,movie_16,5
user_7,movie_15,5
user_12,movie_2,3
user_3,movie_23,5
user_10,movie_21,5
user_6,movie_21,4
user_13,movie_11,4
user_8,movie_30,3
user_14,movie_16,2
user_10,movie_13,5
user_15,movie_12,4
user_18,movie_21,2
user_16,movie_15,2
user_13,movie_23,3
user_2,movie_28,2
user_4,movie_22,5
user_2,movie_22,4
user_15,movie_22,2
user_7,movie_22,3
user_8,movie_2,4
user_14,movie_20,5
user_6,movie_25,1
user_15,movie_2,1
user_13,movie_13,2
user_11,movie_21,4
user_16,movie_21,3
user_12,movie_16,1
user_4,movie_24,1
user_3,movie_20,5
user_12,movie_19,5
user_8,movie_22,2
user_19,movie_17,1
user_12,movie_18,1
user_9,movie_1,4
user_2,movie_6,5
user_6,movie_26,1
user_6,movie_7,5
user_16,movie_10,5
user_6,movie_9,5
user_7,movie_9,5
user_11,movie_3,1
user_8,movie_4,5
user_18,movie_6,1
user_18,movie_28,1
user_16,movie_2,3
user_10,movie_28,3
user_15,movie_28,1
user_5,movie_21,5
user_18,movie_10,1
user_5,movie_4,1
user_16,movie_2,3
user_20,movie_12,5
user_3,movie_14,4
user_20,movie_18,5
user_2,movie_2,4
user_7,movie_21,1
user_18,movie_10,3
user_1,movie_20,3
user_12,movie_22,2
user_13,movie_10,4
user_3,movie_2,3
user_7,movie_15,4
user_12,movie_26,3
user_14,movie_7,5
user_5,movie_10,4
user_3,movie_27,3
user_17,movie_30,4
user_9,movie_24,1
user_5,movie_24,2
user_20,movie_25,2
user_19,movie_12,1
user_15,movie_18,5
user_3,movie_17,2
user_13,movie_9,1
user_16,movie_16,3
